term	possessed_short	possessed_long	gloss_ja	source
koypok		koypokke	西の方	田村1996
koysum	koysumi	koysumihi	あわ､ あぶく	田村1996
ku	ku	kuhu	弓	田村1996
ku	ku	kuwehe	アマッポ	田村1996
kukew	kukewe	kukewehe	鎖骨	田村1996
kunnesiknum	kunnesiknumi	kunnesiknumihi	黒目	田村1996
kur	kuri	kurihi	影	田村1996
kura	kura	kuraha	鞍	田村1996
kurka	kurkasi	kurkasike	上面一帯	田村1996
kurka	kurkasike	kurkasikehe	上面一帯	田村1996
kursut	kursutu	kursutuhu	根元	田村1996
kut	kuci	kucihi	帯	田村1996
kutcam	kutcama		声音	田村1996
kuttom	kuttomo	kuttomoho	喉	田村1996
kuwa	kuwa	kuwaha	杖・墓標	田村1996
mak	makke		奥	田村1996
mat	maci	macihi	女	田村1996
matak	mataki	matakihi	妹（姉から見た）	田村1996
matapa	matapa	matapaha	妹（兄から見た）	田村1996
matkarku	matkarku	matkarkuhu	姪	田村1996
matnepo	matnepo	matnepoho	娘	田村1996
maw	mawe	mawehe	息吹	田村1996
mawap	mawapi	mawapihi	熊のほお	田村1996
mawka	mawkasi	mawkaske	風上	田村1996
may	maye	mayehe	響き	田村1996
mecip	mecipi	mecipihi	盆の窪	田村1996
merit	merici	mericihi	首筋	田村1996
mesas	mesasi	mesasihi	鬣	田村1996
mim	mimi	mimihi	魚肉	田村1996
mimak	mimaki	mimakihi	歯	田村1996
mimakutur	mimakuturu	mimakuturuhu	歯の間	田村1996
mippo	mippo	mippoho	孫	田村1996
moaw	moawe	moawehe		田村1996
mokrap	mokrapu	mokrapuhu	胸鰭	田村1996
monpok	monpoki	monpokihi	直ぐ下	田村1996
montum	montumu	montumuhu	体調	田村1996
monuturu		monuturuhu		
mor	moru	moruhu	耳の前の毛	田村1996
mur	muri	murihi	糠	田村1996
mur	muru	muruhu	糠	バチェラー1938
nan	nanu	nanuhu	顔	田村1996
nankap	nankapu	nankapuhu	顔の皮膚	田村1996
nayetok	nayetoko	nayetokoho	沢の水源	田村1996
nayiwor	nayiwori		沢の中	田村1996
netopa	netopake	netopakehe	胴体	田村1996
niik	niiki	niikihi	切った薪	田村1996
nikor	nikoro		包まれる中	田村1996
nikotor	nikotoro	nikotoroho	口蓋	田村1996
nimak	nimaki	nimakihi	歯	田村1996
nimar	nimara	nimaraha	半数	田村1996
ninkew	ninkewe	ninkewehe	背骨	田村1996
nip	nipi	nipihi	柄	
nipek	nipeki	nipekihi	輝き	田村1996
nippo	nippo	nippoho	孫	田村1996
nirus	nirusi	nirusihi	顰めっ面	田村1996
nisap	nisapi	nisapihi	脛	田村1996
nisikay	nisikaye	nisikayehe	木の節	田村1996
nisut	nisutu	nisutuhu	歯茎	田村1996
nit	nici	nicihi	柄・茎	田村1996
nitek	niteke	nitekehe	枝	田村1996
niyutur	niyuturke		歯の間	田村1996
nok	noki	nokihi	鳥卵	田村1996
nokpi	nokpiye	nokpiyehe	睾丸	田村1996
non	noni	nonihi	唾	田村1996
noski	noskike	noskikehe	真ん中	田村1996
not	noci	nocihi	顎	
notahuy	notahuye	notahuyehe	頬	田村1996
notak	notaku	notakuhu	刃	田村1996
notakam	notakami	notakamihi	頬	田村1996
notarap	notarapu	notarapuhu	魚の頬骨	田村1996
notkew	notkewe	notkewehe	下顎	田村1996
notkir	notkiri	notkirihi	顎先	田村1996
noyap	noyapi	noyapihi	横顔	田村1996
noyporo		noyporoho	額	中川1995
num	numi	numihi	粒	田村1996
nupe	nupe	nupehe	涙	田村1996
nítumam	nítumama	nítumamaha	幹	田村1996
oarsik	oarsiki	oarsikihi	片目	田村1996
oatcikir	oatcikiri	oatcikirihi	片足	田村1996
oattap	oattapi	oattapihi		田村1996
oattapcikir	oattapcikiri	oattapcikirihi	片方の前足	田村1996
oattapsut	oattapsutu	oattapsutuhu	片肩	田村1996
oattek	oatteke	oattekehe		田村1996
ohaw	ohawe	ohawehe	汁	田村1996
ois	oisi	oisihi	尾羽	田村1996
oka	okake	okakehe	後	田村1996
oka	okake	okakehe	後	田村1996
okka	okkasi		上	田村1996
okkew	okkewe	okkewehe	襟首	田村1996
okrit	okrici	okricihi	襟筋	田村1996
oksut	oksutu	oksutuhu	襟足	田村1996
oksuy	oksuye	oksuyehe	襟元	田村1996
om	omi	omihi	大腿	田村1996
omkursut	omkursutu	omkursutuhu	腿の付け根	田村1996
ona	ona	onaha	父親	田村1996
onnay	onnayke	onnaykehe	内	田村1996
or	orke	orkehe	場所	田村1996
or	oro	oroke	場所	田村1996
oruspe		oruspehe	噂話	萱野1996
oske	ossike	ossikehe	中	田村1996
osmak	osmake	osmakehe	後ろ	田村1996
osor	osoro	osoroho	尻	田村1996
osorkam	osorkami	osorkamihi	尻べた	田村1996
osorpuy	osorpuye	osorpuyehe	肛門	田村1996
ot	oci	ocihi	棺莚	田村1996
otop	otopi	otopihi	髪	田村1996
ous	osui	osuke	麓	田村1996
oyakke		oyakkehe		
paenrum	paenrumi	paenrumihi	口の先端	田村1996
pahaw	pahawe	pahawehe	噂	田村1996
paipor	paiporo	paiporoho		田村1996
pakisar	pakisara	pakisaraha	口角	田村1996
pana	panake	panakehe	川下	田村1996
panikkew	panikkewe	panikkewehe	腰下	田村1996
par	paro	paroho	口	田村1996
paratek	parateke	paratekehe	手首より先	田村1996
parir	pariri	paririhi	煙	田村1996
parunpe	parunpe	parunpehe	舌	田村1996
parur	parurke	parurkehe	縁	田村1996
pasi		pasihi		
paspas	paspasi	paspasihi	消し炭	田村1996
patoy	patoye	patoyehe	唇	田村1996
paypor	payporo	payporoho	唇色	
pe	pe	pehe	水気	田村1996
pena	penake		川上	田村1996
penike		penikehe		
penram	penramu	penramuhu	胸	田村1996
penrekut	penrekuci	penrekucihi	首の前側	田村1996
petetok	petetoko	petetokoho	水源地	田村1996
petutur	petuturu	petuturuhu	川と川の間	田村1996
pi	piye	piyehe	小石	田村1996
pir	piri	pirihi	傷	田村1996
piruturu		piruturuhu		
po	po	poho	子	田村1996
pokinkap	pokinkapu	pokinkapuhu	内皮	田村1996
pokisir	pokisirke		股下	田村1996
poksapa	poksapa	poksapaha	陰茎亀頭	田村1996
pone	pone	ponehe	骨	田村1996
ponmat	ponmaci	ponmacihi	妾	田村1996
potonoke		potonokehe	令息､ 御子	田村1996
punkar	punkari	punkarihi	蔓	田村1996
pus	pusi	pusihi	穂	田村1996
put	putu	putuhu	河口	田村1996
puta	puta	putaha	蓋	田村1996
puy	puye	puyehe	穴	田村1996
raciw	raciwe	raciwehe	眉形	田村1996
ram	ramu	ramuhu	心	田村1996
ramat	ramaci	ramacihi	魂	田村1996
ramat	ramatu	ramatuhu	魂	田村1996
ramram	ramrami	ramramihi	鱗	田村1996
rantupep	rantupepi	rantupepihi	顎紐	田村1996
rap	rapu	rapuhu	羽	田村1996
rapok	rapoki	rapokke	途中	田村1996
rar	raru	raruhu	眉	田村1996
rarutur	raruturu	raruturuhu	眉間	田村1996
raycep	raycepi	raycepihi	動物の死骸	田村1996
raykew	raykewe	raykewehe	屍体	田村1996
raysike		raysikehe		
re	re	rehe	名	田村1996
rek	reki	rekihi	髭	田村1996
rekkisar	rekkisara	rekkisaraha	揉み上げ	田村1996
rekut	rekuci	rekucihi	喉	田村1996
reprepke	repkehe		沖	
rerar	rerari	rerarihi	乳房	田村1996
retarsiknum	retarsiknumi	retarsiknumihi	白目	服部1964
rewka	rewkasi	rewkaske	曲がった上	田村1996
rewkurka	rewkurkasi		曲がった上面一帯	田村1996
rewkurpok	rewkurpoki		曲がった下面一帯	田村1996
rit	rici	ricihi	筋	田村1996
ror	rorke	rorkehe	上座	田村1996
ru	ruwe	ruwehe	道	田村1996
rukoci		rukocihi	〜の跡，足跡	萱野1996
rukum	rukumi	rukumihi	短棒	田村1996
runum	runumi	runumihi	豆	田村1996
runumnep	runumnepi	runumnepihi	豆	田村1996
rup	rupi	rupihi	列群	田村1996
rur	ruri	rurihi	汁	田村1996
rus	rusi	rusihi	毛皮	田村1996
ruwoka	ruwokake		死後	田村1996
ruwor	ruworo		低地	田村1996
sa	sa	saha	姉	田村1996
sa	sake	sakehe	節	田村1996
sakanram	sakanrami	sakanramihi	短気	田村1996
saksamaw	saksamawe	saksamawehe	悪臭	田村1996
sam	sama	samaha	側	田村1996
sam	samake	samakehe	側	田村1996
san	sani		子孫	田村1996
sankemat	sankemaci	sankemacihi	正妻	田村1996
sanpe	sanpe	sanpehe	心臓	田村1996
sanpepok	sanpepoki		鳩尾	田村1996
santek	santeke	santekehe	世継ぎ	田村1996
sapa	sapa	sapaha	頭	田村1996
saparus	saparusi	saparusihi	剥けた頭皮	田村1996
sapikir	sapikiri	sapikirihi	血統	田村1996
sar	sara	saraha	尾	田村1996
sar	sari	sarihi	葦原	田村1996
satairwak	satairwaki	satairwakihi	従兄弟姉妹	
say	saye	sayehe	首飾り	田村1996
seci		secihi		
sempir	sempiri	sempirke	陰	田村1996
ser	sere	serke	部分	田村1996
ser	seri	serihi	布幅	田村1996
sermak	sermaka	sermakaha	背後	田村1996
setur	seturu	seturuhu	背中	田村1996
sik	siki	sikihi	目	田村1996
sikay	sikaye	sikayehe	目釘	田村1996
sikkap	sikkapu	sikkapuhu	瞼	田村1996
sikkes	sikkese	sikkesehe	目尻	田村1996
sikkew	sikkewe	sikkewehe	角､ 隅	田村1996
siknum	siknumi	siknumihi	目玉	田村1996
sikokes	sikokese	sikokesehe	目尻	田村1996
sikpuy	sikpuye	sikpuyehe	目元	田村1996
sikramat	sikramaci	sikramacihi	瞳	田村1996
sikrap	sikrapu	sikrapuhu	睫毛	田村1996
simke		simkehe		
simontek	simonteke	simontekehe	右手	田村1996
sinrit	sinrici	sinricihi	根・先祖	田村1996
sirka	sirkasi	sirkaske	地上	田村1996
sirpok	sirpoki	sirpokke	布裏	田村1996
sittok	sittoki	sittokihi	肘	田村1996
sittokew	sittokewe	sittokewehe	肘	
siyetok	siyetoko	siyetokoho	自分の前方	
siyosmak	siyosmake		自分の背後	田村1996
sokarmaci		sokarmacihi		
sos	sosi	sosihi	薄片	田村1996
sowsut	sowsutu	sowsutuhu	隅	田村1996
soy	soyke	soykehe	外	田村1996
soyna	soynake		外側	田村1996
sum	sumi	sumihi	油脂	田村1996
sumaw	sumawe	sumawehe	殺した熊	田村1996
sut	suci	sucihi	祖母	田村1996
sut	sutu	sutuhu	根元	田村1996
símoysam	símoysama		右側	田村1996
tanpakuop	tanpakuopi	tanpakuopihi	タバコ入れ	田村1996
tapcikir	tapcikiri	tapcikirihi	前足	田村1996
tapka	tapkasi		頂上	田村1996
tapsut	tapsutu	tapsutuhu	肩	田村1996
tas	tasu		呼気	田村1996
taype		taypehe		服部1964
tek	teke	tekehe	手	田村1996
tekkotor	tekkotoro	tekkotoroho	掌	田村1996
tekkuci		tekkucihi		
tekkup	tekkupi	tekkupihi	翼	田村1996
tekmekka	tekmekkasi		手の甲側	田村1996
teknum	teknumi	teknumihi	拳を握っている手首から先､ にぎりこぶし	田村1996
tekrici		tekricihi		
tekrukot	tekrukoci	tekrukocihi	手形	田村1996
teksam	teksama	teksamaha	横	田村1996
tektuypok	tektuypoki		掌側	田村1996
tekukot	tekukoci	tekukocihi	手首	田村1996
tem	temi	temihi	手の長さ	田村1996
temsut	temsutu	temsutuhu	腕の付け根	田村1996
ter	teri	terihi	粘液	田村1996
to	to	toho	昼間	田村1996
tokuy	tokuye	tokuyehe	親友	田村1996
tom	tomo		中程	田村1996
tonoke		tonokehe	殿，〜様	萱野1996
tononmimak	tononmimaki	tononmimakihi	前歯	田村1996
tottonum	tottonumi	tottonumihi	乳首	田村1996
toye		toyehe		
tum	tumi	tumihi	力	田村1996
tum	tumu	tumuke	中	田村1996
tum	tumuke	tumukehe	中	知里1923
tumam	tumama	tumamaha	胴	田村1996
tupep	tupepi	tupepihi	顎紐	田村1996
tur	turi	turihi	垢	田村1996
tures	turesi	turesihi	妹（兄から見た）	田村1996
tus	tusi	tusihi	妾（本妻から見た）	田村1996
tusatuypok	tusatuypoki		袖下	田村1996
tusutari		tusutarihi		
tuy	tuye	tuyehe	魚腸	田村1996
tuyka	tuykasi	tuykaske	上端	田村1996
uci		ucihi		
ukowtur	ukowturu	ukowturuhu	間	
unarpe	unarpe	unarpehe	おば	田村1996
uni	uni	unihi	家	田村1996
unu	unu	unuhu	母親	田村1996
unuutari		unuutarihi		
up	upi	upihi	白子	田村1996
upsor	upsoro	upsoroho	懐	田村1996
upus	upusi	upusihi	房､ トウモロコシの実	田村1996
ur	uri	urihi	毛皮の上着､ 外套	田村1996
ure	ure	urehe	足	田村1996
ureasam	ureasama	ureasamaha	足の裏	田村1996
urekot	urekoci	urekocihi	足跡	田村1996
urekotor	urekotoro	urekotoroho	足の裏	田村1996
uremekka	uremekkasi		足の甲側	田村1996
urencikir	urencikiri	urencikirihi	両足	田村1996
urenpiskan	urenpiskani	urenpiskanike	両側	田村1996
urentapcikir	urentapcikiri	urentapcikirihi	両前足	田村1996
urentek	urenteke	urentekehe		田村1996
urentek	urenteki	urentekihi	両手	
ureous	ureousi	ureousihi	足元	
urepentok	urepentoki	urepentokihi	足の土ふまずより前の部分	田村1996
urepet	urepeci	urepecihi	足指	田村1996
uretoy	uretoye	uretoyehe	熊の足の裏の皮	田村1996
usis	usisi	usisihi	蹄	田村1996
utar	utari	utarihi	人々	田村1996
utarikiri		utarikirihi		
utcikam	utcikami	utcikamihi	ふくらはぎ	田村1996
utnici		utnicihi		
utorsam	utorsama		脇	田村1996
utur	uturke	uturkehe	間	田村1996
utur	uturu	uturuke	間	田村1996
uwe		uwehe		服部1964
wata	wata	wataha	綿	田村1996
wenmatnepo		wenmatnepoho		
weyyupi		weyyupihi		
ya	yake		陸地	田村1996
yarpok	yarpokke		脇	田村1996
yatupok	yatupoki	yatupokihi	脇の下	田村1996
yatupok	yatupokke		脇の下	田村1996
ye	ye	yehe	膿	田村1996
yomtekkam	yomtekkami	yomtekkamihi	腿裏	田村1996
yorpuy	yorpuye	yorpuyehe	肛門	田村1996
yukram	yukrami	yukramihi	肺	田村1996
yup	yupi	yupihi	兄	田村1996
útur	úturke	úturkehe	下座	田村1996
útur	úturu	úturuke	下座	田村1996
